Al,As,B,Co,Cu,Fe,Ga,Ge,Ni,P,S,Sb,Se,Sn,Te,Ti,Tl,Y,Zr,shear_modulus
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4.508444333333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,77.0,0.0,10.0,0.0,0.0,0.0,0.0,6.731999900000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,74.0,0.0,10.0,0.0,0.0,0.0,0.0,5.6399999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,48.0,0.0,32.0,0.0,0.0,0.0,0.0,7.090000066666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8925
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,68.0,0.0,10.0,0.0,0.0,0.0,0.0,4.6290002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,15.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6545000000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,8.020000166666668
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.71,0.0,17.86,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,5.3000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,62.2,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.31,0.0,0.0,0.0,21.02,66.67,0.0,0.0,0.0,0.0,0.0,0.0,7.809999900000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,4.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,5.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,64.3399963
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,10.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,6.6876666333333326
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,25.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,7.6999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.29,0.0,0.0,0.0,3.3,50.05,0.0,33.37,0.0,0.0,0.0,0.0,6.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.29,0.0,0.0,0.0,3.3,83.42,0.0,0.0,0.0,0.0,0.0,0.0,5.489999933333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,13.3,44.0,0.0,29.4,0.0,0.0,0.0,0.0,8.8900001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,13.3,73.4,0.0,0.0,0.0,0.0,0.0,0.0,7.079999966666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,23.3,63.4,0.0,0.0,0.0,0.0,0.0,0.0,8.550000066666668
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9400001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,5.71,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,32.4
