Al,As,B,Co,Cu,Fe,Ge,Ni,S,Sb,Se,Sn,Te,Ti,Y,Zr,BulkModulus
0.0,0.0,0.0,0.0,0.0,0.0,16.68,0.0,0.0,6.69,45.95,0.0,30.67,0.0,0.0,0.0,15880000000.0
0.0,0.0,0.0,0.0,0.0,0.0,16.68,0.0,0.0,6.69,76.62,0.0,0.0,0.0,0.0,0.0,11930000000.0
0.0,0.0,0.0,0.0,0.0,0.0,16.68,0.0,0.0,16.68,66.63,0.0,0.0,0.0,0.0,0.0,14930000000.0
0.0,0.0,0.0,0.0,0.0,0.0,16.72,0.0,0.0,26.63,56.66,0.0,0.0,0.0,0.0,0.0,16580000000.0
0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,18.2,63.6,0.0,0.0,0.0,0.0,0.0,15210000000.0
0.0,0.0,0.0,0.0,0.0,0.0,18.24,0.0,0.0,18.24,63.53,0.0,0.0,0.0,0.0,0.0,15210000000.0
0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,0.0,4.38,77.31999999999998,0.0,0.0,0.0,0.0,0.0,11930000000.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,43500000000.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,48.0,0.0,32.0,0.0,0.0,0.0,13790000000.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,66.7,0.0,13.3,0.0,0.0,0.0,13270000000.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,11456666666.666666
0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,13250000000.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,14980000000.0
0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43100000000.0
0.0,0.0,0.0,0.0,0.0,0.0,20.84,0.0,0.0,15.0,64.16,0.0,0.0,0.0,0.0,0.0,15200000000.0
0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,64.7,0.0,13.3,0.0,0.0,0.0,12930000000.0
0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,12480000000.0
0.0,0.0,0.0,0.0,0.0,0.0,23.23,0.0,0.0,13.26,63.51,0.0,0.0,0.0,0.0,0.0,14730000000.0
0.0,0.0,0.0,0.0,0.0,0.0,23.32,0.0,0.0,3.3,73.37,0.0,0.0,0.0,0.0,0.0,13440000000.0
0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,12423333333.333334
0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,13610000000.0
0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38300000000.0
0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,43200000000.0
0.0,0.0,0.0,0.0,0.0,0.0,26.67,0.0,0.0,6.69,66.63,0.0,0.0,0.0,0.0,0.0,13270000000.0
0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,49000000000.0
0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,12366666666.666666
0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,14740000000.0
0.0,0.0,0.0,0.0,0.0,0.0,30.77,0.0,69.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40100000000.0
0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,41800000000.0
0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,10.0,58.0,0.0,0.0,0.0,0.0,0.0,18200000000.0
0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,39000000000.0
0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,18200000000.0
0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,41300000000.0
0.0,0.0,0.0,0.0,0.0,0.0,34.01,0.0,65.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77800000000.0
0.0,0.0,0.0,0.0,0.0,0.0,36.1,0.0,63.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57060000000.0
0.0,0.0,0.0,0.0,0.0,0.0,37.04,0.0,62.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42000000000.0
0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,16430000000.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70950000000.0
0.0,0.0,0.0,0.0,47.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,11.0,35500000000.0
0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,32.5,32800000000.0
0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,149000000000.0
0.0,0.0,15.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111000000000.0
0.0,0.0,17.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124000000000.0
0.0,0.0,20.0,0.0,0.0,30.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000000000.0
0.0,0.0,20.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167000000000.0
0.0,0.0,20.0,0.0,0.0,50.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000000000.0
0.0,0.0,20.0,0.0,0.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206000000000.0
0.0,0.0,20.0,0.0,0.0,70.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207000000000.0
0.0,0.0,20.0,0.0,0.0,75.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170000000000.0
0.0,0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144500000000.0
0.0,0.0,20.0,20.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164000000000.0
0.0,0.0,20.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182000000000.0
0.0,0.0,20.0,60.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166000000000.0
0.0,0.0,20.0,74.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162500000000.0
0.0,0.0,23.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163000000000.0
0.0,1.1,0.0,0.0,0.0,0.0,3.3,0.0,0.0,2.2,77.79999999999998,0.0,15.6,0.0,0.0,0.0,11720000000.0
0.0,1.1,0.0,0.0,0.0,0.0,13.31,0.0,0.0,2.2,69.47,0.0,13.91,0.0,0.0,0.0,13180000000.0
0.0,2.2,0.0,0.0,0.0,0.0,6.7,0.0,0.0,4.5,72.2,0.0,14.4,0.0,0.0,0.0,13350000000.0
0.0,2.2,0.0,0.0,0.0,0.0,16.68,0.0,0.0,4.5,63.84,0.0,12.79,0.0,0.0,0.0,13430000000.0
0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,75.0,0.0,15.0,0.0,0.0,0.0,13050000000.0
0.0,3.3,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.7,66.7,0.0,13.3,0.0,0.0,0.0,13580000000.0
0.0,3.3,0.0,0.0,0.0,0.0,20.0,0.0,0.0,6.7,58.3,0.0,11.7,0.0,0.0,0.0,15650000000.0
0.0,4.39,0.0,0.0,0.0,0.0,23.23,0.0,0.0,8.87,52.84,0.0,10.67,0.0,0.0,0.0,15100000000.0
0.0,4.4,0.0,0.0,0.0,0.0,13.3,0.0,0.0,8.9,61.1,0.0,12.3,0.0,0.0,0.0,14040000000.0
0.0,4.41,0.0,0.0,0.0,0.0,3.31,0.0,0.0,8.82,69.54,0.0,13.93,0.0,0.0,0.0,14930000000.0
0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,9910000000.0
0.0,5.59,0.0,0.0,0.0,0.0,6.69,0.0,0.0,11.09,63.84,0.0,12.79,0.0,0.0,0.0,15050000000.0
0.0,5.59,0.0,0.0,0.0,0.0,16.68,0.0,0.0,11.09,55.54,0.0,11.09,0.0,0.0,0.0,14380000000.0
0.0,5.61,0.0,0.0,0.0,0.0,26.63,0.0,0.0,11.11,47.25,0.0,9.41,0.0,0.0,0.0,15820000000.0
0.0,6.1,0.0,0.0,0.0,0.0,18.2,0.0,0.0,12.1,53.0,0.0,10.6,0.0,0.0,0.0,16190000000.0
0.0,6.7,0.0,0.0,0.0,0.0,10.0,0.0,0.0,13.3,58.3,0.0,11.7,0.0,0.0,0.0,15700000000.0
0.0,6.7,0.0,0.0,0.0,0.0,20.0,0.0,0.0,13.3,50.0,0.0,10.0,0.0,0.0,0.0,16470000000.0
0.0,7.72,0.0,0.0,0.0,0.0,3.31,0.0,0.0,15.53,61.22,0.0,12.22,0.0,0.0,0.0,16110000000.0
0.0,7.8,0.0,0.0,0.0,0.0,13.3,0.0,0.0,15.5,52.8,0.0,10.6,0.0,0.0,0.0,16310000000.0
0.0,8.0,0.0,0.0,0.0,0.0,26.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10785000000.0
0.0,8.9,0.0,0.0,0.0,0.0,6.7,0.0,0.0,17.8,55.5,0.0,11.1,0.0,0.0,0.0,16880000000.0
0.0,8.91,0.0,0.0,0.0,0.0,16.72,0.0,0.0,17.72,47.25,0.0,9.41,0.0,0.0,0.0,15290000000.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,10810000000.0
0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7413333333.333333
0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,20.0,50.0,0.0,10.0,0.0,0.0,0.0,16060000000.0
0.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,17350000000.0
0.0,16.0,0.0,0.0,0.0,0.0,20.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12005000000.0
0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,11270000000.0
0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7900000000.0
0.0,24.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,64.5,0.0,0.0,0.0,0.0,0.0,22000000000.0
0.0,24.0,0.0,0.0,0.0,0.0,11.5,0.0,16.13,0.0,48.37,0.0,0.0,0.0,0.0,0.0,22300000000.0
0.0,24.0,0.0,0.0,0.0,0.0,11.5,0.0,32.25,0.0,32.25,0.0,0.0,0.0,0.0,0.0,22300000000.0
0.0,24.0,0.0,0.0,0.0,0.0,11.5,0.0,48.38,0.0,16.13,0.0,0.0,0.0,0.0,0.0,21500000000.0
0.0,24.0,0.0,0.0,0.0,0.0,11.5,0.0,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20700000000.0
0.0,24.0,0.0,0.0,0.0,0.0,13.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12105000000.0
0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8700000000.0
0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,11900000000.0
0.0,30.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,13600000000.0
0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3.0,0.0,0.0,0.0,0.0,18300000000.0
0.0,32.0,0.0,0.0,0.0,0.0,7.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12895000000.0
0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2.0,0.0,0.0,0.0,0.0,15700000000.0
0.0,33.33,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,13390000000.0
0.0,33.33,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0.0,0.0,20210000000.0
0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,1.0,0.0,0.0,0.0,0.0,16900000000.0
0.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,0.0,13986666666.666666
0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,3.0,0.0,0.0,0.0,0.0,16100000000.0
0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,0.0,0.0,16200000000.0
0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,3.0,0.0,0.0,0.0,0.0,21600000000.0
0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,16600000000.0
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,39800000000.0
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,4.0,0.0,0.0,0.0,0.0,16500000000.0
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,0.0,0.0,15800000000.0
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,0.0,16200000000.0
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,14400000000.0
0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12893333333.333334
0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,0.0,0.0,0.0,0.0,15100000000.0
0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3.0,0.0,0.0,0.0,0.0,14700000000.0
0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,0.0,0.0,0.0,0.0,14600000000.0
0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,0.0,0.0,0.0,0.0,15100000000.0
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,47000000000.0
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,0.0,0.0,0.0,0.0,13500000000.0
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,0.0,0.0,0.0,0.0,13900000000.0
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,14700000000.0
0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3.0,0.0,0.0,0.0,0.0,12600000000.0
0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.0,0.0,0.0,0.0,0.0,12600000000.0
0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,0.0,0.0,0.0,0.0,12300000000.0
0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,45500000000.0
0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,42600000000.0
4.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,113700000000.0
5.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,32400000000.0
6.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,113800000000.0
7.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,42.0,104100000000.0
7.9,0.0,0.0,0.0,15.8,0.0,0.0,12.8,0.0,0.0,0.0,2.5,0.0,0.0,0.0,61.0,102140000000.0
7.9,0.0,0.0,0.0,16.3,0.0,0.0,12.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,99810000000.0
7.9,0.0,0.0,0.0,16.8,0.0,0.0,12.8,0.0,0.0,0.0,1.5,0.0,0.0,0.0,61.0,92950000000.0
7.9,0.0,0.0,0.0,17.3,0.0,0.0,12.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,102550000000.0
7.9,0.0,0.0,0.0,17.8,0.0,0.0,12.8,0.0,0.0,0.0,0.5,0.0,0.0,0.0,61.0,101280000000.0
7.9,0.0,0.0,0.0,18.3,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,101380000000.0
8.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,116400000000.0
9.8,0.0,0.0,0.0,29.4,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,53.9,104000000000.0
9.9,0.0,0.0,0.0,29.7,0.0,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.45,108000000000.0
9.95,0.0,0.0,0.0,29.85,0.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.5,54.73,110000000000.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,25.0,129600000000.0
10.0,0.0,0.0,0.0,15.75,0.0,0.0,10.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.13,106600000000.0
10.0,0.0,0.0,0.0,17.9,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,52.5,117000000000.0
10.0,0.0,0.0,0.0,18.0,0.0,0.0,10.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.88,108300000000.0
10.0,0.0,0.0,0.0,19.8,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,5.4,0.0,53.1,112100000000.0
10.0,0.0,0.0,0.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,57.0,99200000000.0
10.0,0.0,0.0,0.0,20.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,53.0,106800000000.0
10.0,0.0,0.0,0.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,121000000000.0
10.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,121000000000.0
12.0,0.0,0.0,0.0,19.37,0.0,0.0,11.44,0.0,0.0,0.0,0.0,0.0,5.24,0.0,51.95,111500000000.0
14.3,0.0,0.0,0.0,18.85,0.0,0.0,11.14,0.0,0.0,0.0,0.0,0.0,5.14,0.0,50.56,112450000000.0
14.4,0.0,0.0,0.0,19.2,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,52.8,104800000000.0
14.7,0.0,0.0,0.0,19.6,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,53.9,110500000000.0
15.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,55.0,114900000000.0
16.0,0.0,0.0,0.0,18.48,0.0,0.0,10.92,0.0,0.0,0.0,0.0,0.0,5.04,0.0,49.56,106700000000.0
19.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,114900000000.0
