Al,As,B,C,Co,Cu,Fe,Ga,Ge,In,Mg,Mo,Ni,S,Sb,Se,Si,Sn,Te,Ti,Y,Zr,YM
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,12.09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,48.0,0.0,0.0,32.0,0.0,0.0,0.0,18.53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,20.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.606666666666667,27.27,0.0,0.0,0.0,0.0,0.0,62.123333333333335,0.0,0.0,0.0,0.0,0.0,0.0,22.7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,25.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,19.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,25.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,22.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.29,0.0,0.0,0.0,0.0,0.0,3.3,50.05,0.0,0.0,33.37,0.0,0.0,0.0,17.36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.29,0.0,0.0,0.0,0.0,0.0,3.3,83.42,0.0,0.0,0.0,0.0,0.0,0.0,14.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,13.3,44.0,0.0,0.0,29.4,0.0,0.0,0.0,22.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,13.3,73.4,0.0,0.0,0.0,0.0,0.0,0.0,18.14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,23.3,63.4,0.0,0.0,0.0,0.0,0.0,0.0,21.69
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.816666666666668,22.22,0.0,0.0,0.0,0.0,0.0,62.96333333333334,0.0,0.0,0.0,0.0,0.0,0.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0,0.0,0.0,0.0,27.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,83.0,0.0,0.0,0.0,27.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,82.0,0.0,0.0,0.0,27.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,81.0,0.0,0.0,0.0,27.75
