As,B,Ga,Ge,Na,P,Pb,S,Sb,Se,Te,Tl,TEC
0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,313.0
0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,75.0,0.0,0.0,223.66666666666666
0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,70.0,0.0,0.0,201.0
0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,20.0,65.0,0.0,0.0,182.0
0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,22.0,63.0,0.0,0.0,176.0
0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,25.0,60.0,0.0,0.0,114.95000074999999
0.0,0.0,0.0,15.0,0.0,0.0,0.0,8.5,0.0,76.5,0.0,0.0,330.0
0.0,0.0,0.0,15.0,0.0,0.0,0.0,17.0,0.0,68.0,0.0,0.0,336.0
0.0,0.0,0.0,15.0,0.0,0.0,0.0,68.0,0.0,17.0,0.0,0.0,440.0
0.0,0.0,0.0,15.25,0.0,8.47,0.0,0.0,0.0,76.27,0.0,0.0,96.66666409999999
0.0,0.0,0.0,15.25,0.0,16.95,0.0,0.0,0.0,67.8,0.0,0.0,83.33333590000001
0.0,0.0,0.0,15.383333333333333,0.0,0.0,0.0,63.07666666666667,21.54,0.0,0.0,0.0,166.0
0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,70.0,6.0,33.9000015
0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,20.0,63.33,0.0,0.0,156.0
0.0,0.0,0.0,16.67,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,480.0
0.0,0.0,0.0,16.7,0.0,0.0,0.0,83.3,0.0,0.0,0.0,0.0,478.0
0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,311.0
0.0,0.0,0.0,17.0,0.0,0.0,20.0,59.4,3.6,0.0,0.0,0.0,148.0
0.0,0.0,0.0,17.223333333333333,0.0,0.0,0.0,0.0,0.0,82.77666666666667,0.0,0.0,145.0
0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,15.0,67.5,0.0,0.0,199.0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,70.0,3.0,34.7000008
0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,303.0
0.0,0.0,0.0,18.333333333333332,0.0,0.0,0.0,63.666666666666664,18.0,0.0,0.0,0.0,165.0
0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,13.0,60.0,8.0,32.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,89.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,60.0,15.0,32.5
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,20.0,34.4000015
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,267.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,5.0,75.0,0.0,0.0,224.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,70.0,0.0,0.0,194.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,65.0,0.0,0.0,160.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,16.0,64.0,0.0,0.0,167.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,25.0,55.0,0.0,0.0,137.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,8.0,0.0,72.0,0.0,0.0,281.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,16.0,0.0,64.0,0.0,0.0,276.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,32.0,0.0,48.0,0.0,0.0,274.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,0.0,40.0,0.0,0.0,286.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,48.0,0.0,32.0,0.0,0.0,280.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,64.0,0.0,16.0,0.0,0.0,304.0
0.0,0.0,0.0,20.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,321.0
0.0,0.0,0.0,20.0,0.0,8.0,0.0,0.0,0.0,72.0,0.0,0.0,80.0
0.0,0.0,0.0,20.666666666666664,0.0,0.0,23.5,0.0,0.0,55.83333333333333,0.0,0.0,178.0
0.0,0.0,0.0,20.84,0.0,0.0,0.0,0.0,15.0,64.16,0.0,0.0,154.0
0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,16.0,55.0,8.0,31.0
0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,270.0
0.0,0.0,0.0,21.0,0.0,0.0,24.0,0.0,0.0,55.0,0.0,0.0,181.0
0.0,0.0,0.0,21.666666666666668,0.0,0.0,0.0,64.33333333333334,14.0,0.0,0.0,0.0,166.0
0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,13.1,65.0,0.0,0.0,179.0
0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,18.0,50.0,10.0,36.0999985
0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,18.0,60.0,0.0,0.0,152.0
0.0,0.0,0.0,22.0,0.0,0.0,23.0,0.0,0.0,55.0,0.0,0.0,178.0
0.0,0.0,0.0,22.0,0.0,0.0,23.0,55.0,0.0,0.0,0.0,0.0,153.80000305
0.0,0.0,0.0,22.223333333333333,0.0,0.0,0.0,64.44466666666666,13.331999999999999,0.0,0.0,0.0,167.0
0.0,0.0,0.0,22.233333333333334,0.0,9.514285714285714,0.0,68.25238095238095,0.0,0.0,0.0,0.0,277.0
0.0,0.0,0.0,22.333333333333332,0.0,9.428571428571429,0.0,68.23809523809524,0.0,0.0,0.0,0.0,244.0
0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,77.5,0.0,0.0,260.0
0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,18.0,55.0,4.0,36.0
0.0,0.0,0.0,23.0,0.0,0.0,22.0,0.0,0.0,55.0,0.0,0.0,173.0
0.0,0.0,0.0,23.166666666666664,0.0,0.0,21.0,0.0,0.0,55.83333333333333,0.0,0.0,176.0
0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,10.0,60.0,6.0,165.0
0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,16.0,50.0,10.0,172.0
0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,16.0,60.0,0.0,161.0
0.0,0.0,0.0,24.0,0.0,0.0,21.0,0.0,0.0,55.0,0.0,0.0,168.0
0.0,0.0,0.0,24.166666666666664,0.0,0.0,20.0,0.0,0.0,55.83333333333333,0.0,0.0,173.0
0.0,0.0,0.0,24.91,0.0,0.0,0.0,74.73999999999998,0.0,0.0,0.0,0.0,142.0
0.0,0.0,0.0,24.96,0.0,0.0,0.0,74.87,0.0,0.0,0.0,0.0,142.0
0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,5.0,30.7999992
