As,Ge,In,Pb,S,Sb,Se,Te,thermal_conductivity
25.0,10.0,0.0,0.0,0.0,0.0,65.0,0.0,2480000000.0
25.0,12.5,0.0,0.0,0.0,0.0,62.5,0.0,2550000000.0
25.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,2610000000.0
25.0,17.5,0.0,0.0,0.0,0.0,57.5,0.0,2680000000.0
25.0,20.0,0.0,0.0,0.0,0.0,25.0,30.0,1935000000.0
25.0,21.0,0.0,0.0,0.0,0.0,54.0,0.0,2839999999.9999995
25.0,22.5,0.0,0.0,0.0,0.0,52.5,0.0,2660000000.0
25.0,24.0,0.0,0.0,0.0,0.0,51.0,0.0,2610000000.0
25.5,0.0,0.0,0.0,64.5,0.0,0.0,10.0,2830000000.0000005
28.3,0.0,0.0,0.0,71.7,0.0,0.0,0.0,2920000000.0
28.5,0.0,0.0,0.0,0.0,0.0,14.3,57.2,52699999999.99999
28.5,0.0,0.0,0.0,0.0,0.0,35.75,35.75,39700000000.0
28.5,0.0,0.0,0.0,0.0,0.0,43.0,28.5,49299998000.0
28.5,0.0,0.0,0.0,0.0,0.0,57.2,14.3,48499999000.0
28.5,0.0,0.0,0.0,0.0,0.0,71.5,0.0,49299998000.0
30.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2800000000.0000005
30.0,5.0,0.0,0.0,0.0,0.0,65.0,0.0,3000000000.0
30.0,10.0,0.0,0.0,0.0,0.0,60.0,0.0,2900000000.0
30.0,15.0,0.0,0.0,0.0,0.0,55.0,0.0,2400000000.0
30.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,2800000000.0000005
30.0,25.0,0.0,0.0,0.0,0.0,45.0,0.0,2900000000.0
30.0,30.0,0.0,0.0,0.0,0.0,40.0,0.0,3500000000.0
32.4,0.0,0.0,0.0,67.6,0.0,0.0,0.0,2410000000.0
34.27,0.0,0.0,0.0,55.74,0.0,0.0,9.99,2930000000.0
