As,Ge,In,P,S,Sb,Se,Si,Te,Tl,softening
20.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,5.0,341.15
20.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,387.65
20.0,0.0,0.0,0.0,0.0,5.0,0.0,30.0,45.0,0.0,748.15
20.0,0.0,0.0,0.0,30.0,0.0,25.0,0.0,0.0,25.0,453.15
20.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,65.0,0.0,464.15
20.0,5.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,30.0,410.15
20.0,5.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,25.0,404.15
20.0,5.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,20.0,399.15
20.0,5.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,15.0,361.15
20.0,5.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,10.0,366.15
20.0,5.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,5.0,383.15
20.0,5.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,403.15
20.0,5.0,0.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,480.15
20.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,65.0,0.0,472.15
20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,451.09999999999997
20.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,65.0,0.0,462.15
20.0,10.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,30.0,455.15
20.0,10.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,25.0,415.15
20.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,20.0,408.15
20.0,10.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,15.0,400.15
20.0,10.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,10.0,388.15
20.0,10.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,5.0,410.15
20.0,10.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,432.15
20.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,65.0,0.0,443.15
20.0,15.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,10.0,451.15
20.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,5.0,451.15
20.0,16.666666666666668,0.0,0.0,30.0,0.0,33.333333333333336,0.0,0.0,0.0,562.0
20.0,20.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,491.15
20.0,20.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,5.0,505.15
20.0,20.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,608.0
20.0,22.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,611.15
20.0,25.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,10.0,521.15
20.0,25.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,5.0,555.15
20.0,30.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,5.0,593.15
22.5,5.0,0.0,5.0,67.5,0.0,0.0,0.0,0.0,0.0,448.15
22.5,5.0,0.0,10.0,62.5,0.0,0.0,0.0,0.0,0.0,459.15
24.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,390.15
24.0,0.0,0.0,0.0,36.0,0.0,20.0,0.0,0.0,20.0,453.15
24.0,13.333333333333334,0.0,0.0,36.0,0.0,26.666666666666668,0.0,0.0,0.0,536.0
24.31,30.14,0.0,0.0,45.55,0.0,0.0,0.0,0.0,0.0,703.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,70.0,0.0,393.15
25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,587.7666666666668
25.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,45.0,0.0,711.15
25.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,0.0,707.15
25.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,35.0,0.0,786.15
25.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,30.0,0.0,725.15
25.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,671.15
25.0,5.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,445.15
25.0,5.0,0.0,5.0,65.0,0.0,0.0,0.0,0.0,0.0,477.15
25.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0,50.0,0.0,563.15
25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,437.15
25.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,50.0,0.0,593.075
25.0,10.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,0.0,668.15
25.0,12.0,0.0,0.0,0.0,0.0,0.0,13.0,50.0,0.0,543.15
25.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,0.0,527.15
25.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,653.15
25.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,444.15
25.0,15.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,558.0
25.0,17.0,0.0,0.0,0.0,0.0,0.0,18.0,40.0,0.0,643.15
25.0,30.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,703.0
26.0,0.0,0.0,0.0,60.0,14.0,0.0,0.0,0.0,0.0,1081.0
27.5,5.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.0,452.15
27.5,5.0,0.0,5.0,62.5,0.0,0.0,0.0,0.0,0.0,485.15
28.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,402.15
28.0,0.0,0.0,0.0,42.0,0.0,15.0,0.0,0.0,15.0,448.15
28.571428571428573,0.0,0.0,0.0,71.42857142857143,0.0,0.0,0.0,0.0,0.0,457.15
29.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,405.15
30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,55.0,0.0,483.15
30.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,45.0,0.0,604.15
30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,0.0,633.15
30.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,0.0,777.15
30.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,730.15
30.0,0.0,0.0,0.0,0.0,0.0,53.333333333333336,0.0,0.0,16.666666666666668,408.15
30.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,409.65
30.0,5.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,471.15
30.0,5.0,0.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,471.15
30.0,20.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,556.0
30.0,30.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,713.0
32.0,0.0,0.0,0.0,48.0,0.0,10.0,0.0,0.0,10.0,448.15
32.0,6.666666666666667,0.0,0.0,48.0,0.0,13.333333333333334,0.0,0.0,0.0,520.0
32.5,5.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,490.15
33.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,428.15
33.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,493.0
33.33,0.0,0.0,0.0,33.33,0.0,33.34,0.0,0.0,0.0,470.0
33.333333333333336,0.0,0.0,0.0,0.0,0.0,66.66666666666667,0.0,0.0,0.0,469.15
34.0,0.0,0.0,0.0,14.99,3.0,48.01,0.0,0.0,0.0,473.0
34.0,0.0,0.0,0.0,51.0,0.0,7.5,0.0,0.0,7.5,448.15
35.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,55.0,0.0,459.15
35.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,707.15
35.0,0.0,0.0,0.0,10.0,0.0,35.0,0.0,20.0,0.0,449.0
35.0,5.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,492.15
36.0,0.0,0.0,0.0,54.0,0.0,5.0,0.0,0.0,5.0,443.15
36.0,0.0,0.0,0.0,60.0,4.0,0.0,0.0,0.0,0.0,1081.0
36.2,5.0,0.0,0.0,58.8,0.0,0.0,0.0,0.0,0.0,484.15
36.5,0.0,0.0,0.0,14.94,0.0,48.56,0.0,0.0,0.0,468.0
37.3,5.0,0.0,0.0,57.7,0.0,0.0,0.0,0.0,0.0,476.15
38.0,0.0,0.0,0.0,21.0,0.0,41.0,0.0,0.0,0.0,472.15
38.0,0.0,0.0,0.0,40.0,0.0,22.0,0.0,0.0,0.0,477.15
38.0,0.0,0.0,0.0,57.0,0.0,2.5,0.0,0.0,2.5,443.15
38.7,0.0,0.0,0.0,0.0,0.0,61.3,0.0,0.0,0.0,475.0
38.8,0.0,0.0,0.0,58.2,0.0,1.5,0.0,0.0,1.5,443.15
39.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,449.15
39.0,0.0,0.0,0.0,30.0,0.0,31.0,0.0,0.0,0.0,472.15
39.6,0.0,0.0,0.0,59.4,0.0,0.5,0.0,0.0,0.5,443.15
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,404.15
40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,0.0,590.15
40.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,675.15
40.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,471.54999999999995
40.0,0.0,0.0,0.0,14.0,0.0,46.0,0.0,0.0,0.0,472.15
40.0,0.0,0.0,0.0,45.0,0.0,15.0,0.0,0.0,0.0,473.15
40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,463.15
40.0,15.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,693.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,45.0,0.0,462.15
45.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,40.0,0.0,565.15
45.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,30.0,0.0,623.15
45.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,423.15
45.0,10.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,614.0
45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,573.15
45.0,15.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,708.075
50.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,37.5,0.0,528.15
50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,473.15
50.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,10.0,0.0,468.0
50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,458.15
50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,523.15
50.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,656.075
50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,523.15
50.0,15.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,724.0
51.3,2.5,0.0,0.0,46.2,0.0,0.0,0.0,0.0,0.0,322.15
52.0,3.0,0.0,0.0,36.0,0.0,9.0,0.0,0.0,0.0,352.15
52.0,3.0,0.0,0.0,40.5,0.0,4.5,0.0,0.0,0.0,351.15
52.0,3.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,341.15
52.5,7.5,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,602.075
55.0,2.5,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,358.15
55.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,463.15
55.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,503.15
56.2,1.3,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,322.15
60.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,423.15
60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,473.15
60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,541.15
65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,478.15
65.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,508.15
