As,Ge,In,P,S,Sb,Se,Si,Te,Tl,softening
0.0,24.5,8.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,600.0
0.0,25.0,0.0,0.0,0.0,0.0,20.0,0.0,55.0,0.0,524.15
0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,493.15
0.0,25.0,0.0,0.0,0.0,0.0,65.0,0.0,10.0,0.0,548.15
0.0,25.0,0.0,0.0,0.0,5.0,70.0,0.0,0.0,0.0,623.15
0.0,25.0,0.0,0.0,0.0,10.0,65.0,0.0,0.0,0.0,620.15
0.0,25.0,0.0,0.0,0.0,15.0,60.0,0.0,0.0,0.0,585.15
0.0,25.0,0.0,0.0,0.0,20.0,55.0,0.0,0.0,0.0,561.15
0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,50.0,0.0,668.15
0.0,25.0,0.0,0.0,30.0,0.0,0.0,0.0,45.0,0.0,420.15
0.0,25.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,819.0
0.0,25.0,0.0,5.0,70.0,0.0,0.0,0.0,0.0,0.0,673.15
0.0,25.0,0.0,10.0,0.0,0.0,0.0,0.0,65.0,0.0,661.15
0.0,25.0,0.0,10.0,0.0,0.0,65.0,0.0,0.0,0.0,673.15
0.0,25.0,0.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,673.15
0.0,25.0,0.0,15.0,60.0,0.0,0.0,0.0,0.0,0.0,758.15
0.0,25.0,0.0,20.0,0.0,0.0,55.0,0.0,0.0,0.0,723.15
0.0,25.0,0.0,20.0,55.0,0.0,0.0,0.0,0.0,0.0,683.15
0.0,25.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,748.15
0.0,25.0,0.0,30.0,0.0,0.0,45.0,0.0,0.0,0.0,653.15
0.0,25.0,0.0,30.0,45.0,0.0,0.0,0.0,0.0,0.0,738.15
0.0,25.0,0.0,35.0,40.0,0.0,0.0,0.0,0.0,0.0,738.15
0.0,25.0,5.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,582.0
0.0,25.0,10.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,631.0
0.0,25.5,8.0,0.0,0.0,0.0,66.5,0.0,0.0,0.0,632.0
0.0,26.0,5.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,595.0
0.0,26.5,5.0,0.0,0.0,0.0,68.5,0.0,0.0,0.0,602.0
0.0,26.67,8.0,0.0,0.0,0.0,65.33,0.0,0.0,0.0,640.0
0.0,27.0,5.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,621.0
0.0,27.5,8.0,0.0,0.0,0.0,64.5,0.0,0.0,0.0,636.0
0.0,28.0,5.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,635.0
0.0,28.0,8.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,623.0
0.0,29.17,5.0,0.0,0.0,0.0,65.83,0.0,0.0,0.0,665.0
0.0,29.5,5.0,0.0,0.0,0.0,65.5,0.0,0.0,0.0,655.0
0.0,30.0,0.0,0.0,0.0,0.0,25.0,0.0,45.0,0.0,566.15
0.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,548.15
0.0,30.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,559.15
0.0,30.0,0.0,0.0,0.0,0.0,40.0,0.0,30.0,0.0,578.15
0.0,30.0,0.0,0.0,0.0,0.0,45.0,0.0,25.0,0.0,585.15
0.0,30.0,0.0,0.0,0.0,0.0,60.0,0.0,10.0,0.0,600.15
0.0,30.0,0.0,0.0,0.0,0.0,65.0,0.0,5.0,0.0,599.15
0.0,30.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,606.0
0.0,30.0,0.0,0.0,25.0,0.0,0.0,0.0,45.0,0.0,480.15
0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,40.0,0.0,452.15
0.0,30.0,0.0,0.0,35.0,0.0,0.0,0.0,35.0,0.0,435.15
0.0,30.0,0.0,0.0,40.0,0.0,0.0,0.0,30.0,0.0,420.15
0.0,30.0,0.0,0.0,50.0,0.0,0.0,0.0,20.0,0.0,450.15
0.0,30.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,694.15
0.0,30.0,0.0,0.0,65.0,0.0,0.0,0.0,5.0,0.0,688.15
0.0,30.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,697.15
0.0,30.0,0.0,5.0,65.0,0.0,0.0,0.0,0.0,0.0,773.15
