Al,As,B,Co,Cu,Fe,Ga,Ge,Ni,P,S,Sb,Se,Sn,Te,Tl,Y,Zr,Poission
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,12.0,65.0,0.0,0.0,0.0,0.0,0.0,0.2945205
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,65.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27399999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.23,0.0,0.0,0.0,13.26,63.51,0.0,0.0,0.0,0.0,0.0,0.271
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.32,0.0,0.0,0.0,3.3,73.37,0.0,0.0,0.0,0.0,0.0,0.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.333333333333332,0.0,0.0,64.66666666666666,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28300000000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.27819227500000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,65.0,0.0,0.0,0.0,0.0,0.0,0.2896666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,20.0,55.0,0.0,0.0,0.0,0.0,0.0,0.3834951
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,9.0,65.0,0.0,0.0,0.0,0.0,0.0,0.2986112
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,66.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22699999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.46,0.0,0.0,0.0,6.91,66.63,0.0,0.0,0.0,0.0,0.0,0.255
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,0.0,0.0,65.33333333333334,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,0.0,0.0,0.0,6.69,66.63,0.0,0.0,0.0,0.0,0.0,0.263
0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0,10.0,62.5,0.0,0.0,0.0,0.0,0.0,0.32095490000000004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.514658
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,6.0,66.0,0.0,0.0,0.0,0.0,0.0,0.29577459999999994
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,12.0,60.0,0.0,0.0,0.0,0.0,0.0,0.26333333333333336
0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.233
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.2619535625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.275
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.77,0.0,0.0,69.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20199999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.21600000000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,8.0,60.0,0.0,0.0,0.0,0.0,0.0,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,10.0,58.0,0.0,0.0,0.0,0.0,0.0,0.27280269999999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20600000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,66.4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.20600000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.0,0.0,0.0,10.0,57.5,0.0,0.0,0.0,0.0,0.0,0.2888889
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.278
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.244
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,0.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.0,0.0,0.0,0.0,66.4,0.0,0.0,0.0,0.0,0.0,0.251
0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.266
0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,0.0,0.0,63.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268
0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.04,0.0,0.0,62.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.258
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.249
0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,0.0,0.0,0.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.261
0.0,0.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259
0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.333333333333332,0.0,0.0,0.0,0.0,64.66666666666666,0.0,0.0,0.0,0.0,0.0,0.263
