,y_pr,y_ac
128,403.79538,395.075
129,450.10754,388.15
130,859.731,840.15
131,384.65598,365.15
132,475.11716,532.15
133,819.3809,822.0
134,388.9266,394.15
135,522.30396,533.15
136,624.66833,628.075
137,637.3991,684.15
138,525.9358,533.15
139,544.21594,547.15
140,478.6594,489.075
141,625.1753,624.9
142,494.53455,508.15
143,546.66187,576.15
144,502.3468,498.15
145,392.1765,386.15
146,626.77155,623.15
147,640.3087,637.0
148,669.9922,673.0
149,344.8433,365.15
150,605.49274,579.65
151,446.01556,461.05
152,378.01346,389.15
153,674.46985,657.0
154,445.1049,428.075
155,465.52682,464.15
156,448.6996,442.15
157,546.3017,527.15
158,531.5222,534.15
159,593.36017,545.075
160,405.8109,366.0
161,635.546,624.15
162,434.33636,452.075
163,394.2443,421.075
164,630.66156,658.0
165,608.05536,604.0
166,407.8266,421.15
167,521.02673,518.15
168,629.6582,625.0
169,431.89844,444.05
170,342.14334,342.15
171,443.7312,443.075
172,448.5553,438.575
173,335.41953,332.15
174,671.3753,706.15
175,444.5346,439.0
176,904.9111,915.0
177,520.3954,537.5
178,478.22375,488.075
179,814.68945,809.15
180,358.38113,369.65
181,628.0556,643.15
182,430.60773,428.15
183,572.5286,538.15
184,565.01373,435.0
185,671.18463,720.15
186,567.7812,653.15
187,392.5684,388.0
188,323.62946,307.075
189,442.87482,444.15
190,710.117,708.0
191,695.97437,706.15
192,740.3617,726.0
193,577.01636,590.1500000000001
194,320.17404,325.15
195,647.4574,644.575
196,401.09552,408.15
197,430.43506,422.575
198,450.764,460.15
199,456.4393,462.075
200,771.7838,946.0
201,448.91385,443.15
202,373.98965,384.15
203,608.23505,619.15
204,456.23526,469.15
205,355.33246,358.0
206,424.85153,414.15
207,662.429,628.15
208,517.7842,509.575
209,406.71893,417.15
210,624.9458,622.0
211,456.25327,458.15
212,574.46497,569.15
213,424.53363,423.15
214,472.04382,470.15
215,481.51025,497.15
216,565.84955,576.15
217,417.9718,421.15
218,494.4262,477.075
219,720.2736,733.5
220,413.94342,420.65
221,441.48767,430.15
222,439.92853,444.575
223,350.7241,354.15
224,373.41882,380.15
225,483.3901,492.0
226,545.73663,515.0
227,399.94852,398.15
228,369.86108,380.15
229,652.5732,673.15
230,340.3775,345.15
231,388.28983,385.15
232,352.96115,354.15
233,596.9952,585.075
234,474.67957,486.8975
235,618.91156,604.0
236,520.87335,540.075
237,902.941,872.0
